input,normalized,gt_label
i like chees,i like cheese,cheese
i like cheees,i like cheese,cheese
i like chicken wings,i like chicken wings,chicken wings
i lkie chicken wings,i line chicken wings,chicken wings
i lk chicken wings,i lk chicken wings,chicken wings
i lik chicken wings,i like chicken wings,chicken wings
i love chicken,i love chicken,chicken
i lov chicken,i love chicken,chicken
i love chicken,i love chicken,chicken
i want chocolate cookie,i want chocolate cookie,chocolate cookies
i wan chocolate cookie,i want chocolate cookie,chocolate cookies
i want chcoolate cookie,i want chocolate cookie,chocolate cookies
i want chclt cookie,i want chclt cookie,chocolate cookies
give me some chocolates,give me some chocolates,chocolate
giveme some chocolates,give some chocolates,chocolate
give m some chocolates,give m some chocolates,chocolate
give me some chutney,give me some chutney,chutney
gv me some chutney,gve me some chutney,chutney
giveme some chutney,give some chutney,chutney
give mesome chutney,give some chutney,chutney
give me cookie,give me cookie,cookie
giv me cookie,give me cookie,cookie
gv me cookie,gve me cookie,cookie
give me cooki,give me cookie,cookie
give me cornflakes,give me cornflakes,cornflakes
gvie me cornflakes,gve me cornflakes,cornflakes
give me crnflks,give me cornflakes,cornflakes
i want croissant,i want croissant,croissant
iwant croissant,want croissant,croissant
i wan croissant,i want croissant,croissant
i want cuppa noodles,i want cuppa noodles,cuppa noodles
i want cuppa ndls,i want cuppa ndls,cuppa noodles
i want cuppa noodles,i want cuppa noodles,cuppa noodles
i watn cuppa noodles,i what cuppa noodles,cuppa noodles
give me some curd,give me some curd,curd
gvie me some curd,gve me some curd,curd
give me sm curd,give me sm curd,curd
giv me some curd,give me some curd,curd
give me custard,give me custard,custard
give m custard,give m custard,custard
i want dal khichidi,i want dal khichidi,dal khichdi
iwant dal khichidi,want dal khichidi,dal khichdi
i want dal khichdii,i want dal khichdi,dal khichdi
i want dalkhichidi,i want dal khichdi,dal khichdi
i want dal,i want dal,dal
iwant dal,want dal,dal
i wan dal,i want dal,dal
i want da,i want day,dal
i want donut,i want donut,donut
i want dnout,i want donut,donut
 want donut,want donut,donut
i want odnut,i want donut,donut
i want dosa,i want dosa,dosa
i wan dosa,i want dosa,dosa
iwant dosa,want dosa,dosa
i want odsa,i want soda,dosa
i want to eat with small bites,i want to eat with small bites,eat with small bites
i wnat to eat with small bites,i what to eat with small bites,eat with small bites
i want to eat with small bts,i want to eat with small bites,eat with small bites
 want to eat with small bites,want to eat with small bites,eat with small bites
give me some eggs,give me some eggs,eggs
give me som eggs,give me some eggs,eggs
give me some ggs,give me some eggs,eggs
give me someeggs,give me someeggs,eggs
give me fish and chips,give me fish and chips,fish and chips
give m fish and chips,give m fish and chips,fish and chips
give me fish and cihps,give me fish and chips,fish and chips
giveme fish and chips,give fish and chips,fish and chips
i want fish,i want fish,fish
iwant fish,want fish,fish
i want fis,i want fish,fish
i want fish,i want fish,fish
take me to food court,take me to food court,food court
take me to food court,take me to food court,food court
take me to foo court,take me to food court,food court
takeme to food court,take to food court,food court
give me some food,give me some food,food
give me somefood,give me somefood,food
give m some food,give m some food,food
give me some foo,give me some food,food
make me some french toast,make me some french toast,french toast
make m some french toast,make m some french toast,french toast
make me somefrench toast,make me french toast,french toast
make me some frnech toast,make me some french toast,french toast
i want fried rice,i want fried rice,fried rice
i want fired rice,i want tired rice,fried rice
i wan fried rice,i want fried rice,fried rice
 want fried rice,want fried rice,fried rice
give me some frozen yogurt,give me some frozen yogurt,frozen yogurt
give me somefrozen yogurt,give me frozen yogurt,frozen yogurt
give m some frozen yogurt,give m some frozen yogurt,frozen yogurt
give me fruit punch,give me fruit punch,fruit punch
give me fruit punc,give me fruit punch,fruit punch
giveme fruit punch,give fruit punch,fruit punch
give m fruit punch,give m fruit punch,fruit punch
give me salad,give me salad,fruit salad
igve me salad,gve me salad,fruit salad
give me salda,give me salsa,fruit salad
gv me salad,gve me salad,fruit salad
give me gajarhalwa,give me gajarhalwa,gajarhalwa
giveme gajarhalwa,give gajarhalwa,gajarhalwa
give me gajarhalw,give me gajarhalwa,gajarhalwa
gv me gajarhalwa,gve me gajarhalwa,gajarhalwa
give me a granola bar,give me a granola bar,granola bar
giv me a granola bar,give me a granola bar,granola bar
give me  granola bar,give me granola bar,granola bar
give me a granolabar,give me a granola bar,granola bar
i love gulab jamun,i love gulab jamun,gulab jamun
i lv gulab jamun,i lv gulab jamun,gulab jamun
i love glb jamun,i love gulab jamun,gulab jamun
i love gulab jmn,i love gulab jamun,gulab jamun
i want hamburger,i want hamburger,hamburger
i wan hamburger,i want hamburger,hamburger
 want hamburger,want hamburger,hamburger
i want hamburge,i want hamburger,hamburger
i want hard boiled eggs,i want hard boiled eggs,hard boiled eggs
i want hard boiled ggs,i want hard boiled eggs,hard boiled eggs
i wanthard boiled eggs,i wanthard boiled eggs,hard boiled eggs
i watn hard boiled eggs,i what hard boiled eggs,hard boiled eggs
i want honey,i want honey,honey
i awnt honey,i ant honey,honey
i wanthoney,i wanthoney,honey
i wnt honey,i want honey,honey
i want hot chocolate,i want hot chocolate,hot chocolate
i want ht chocolate,i want hot chocolate,hot chocolate
i wnt hot chocolate,i want hot chocolate,hot chocolate
i want some hotdog,i want some hotdog,hotdog
i wan some hotdog,i want some hotdog,hotdog
i wantsome hotdog,i wantsome hotdog,hotdog
i want ice cream,i want ice cream,ice cream
i want icecream,i want icecream,ice cream
i want ice cream,i want ice cream,ice cream
i wan ice cream,i want ice cream,ice cream
i want ice cream,i want ice cream,icecream
i want ice cream,i want ice cream,icecream
i want ice crm,i want ice cream,icecream
gve me some idli,gve me some idli,idli
gve me sm idli,gve me sm idli,idli
gveme some idli,gve some idli,idli
i want jalebi,i want jalebi,jalebi
i want jlaebi,i want jalebi,jalebi
i want jaleb,i want jalebi,jalebi
i wan jalebi,i want jalebi,jalebi
i love khichidi,i love khichidi,khichdi
i lovekhichidi,i khichidi,khichdi
ilove khichidi,love khichidi,khichdi
i want some laddoo,i want some laddoo,laddoo
i wantsome laddoo,i wantsome laddoo,laddoo
 want some laddoo,want some laddoo,laddoo
iwant some laddoo,want some laddoo,laddoo
i want mac and cheese,i want mac and cheese,mac and cheese
iwant mac and cheese,want mac and cheese,mac and cheese
i wnat mac and cheese,i what mac and cheese,mac and cheese
i want mc and cheese,i want mac and cheese,mac and cheese
i want macaroons,i want macaroons,macaroons
i want macaroons,i want macaroons,macaroons
i wnt macaroons,i want macaroons,macaroons
i want macaronos,i want macaroons,macaroons
i want mashed potatoes,i want mashed potatoes,mashed potatoes
iwant mashed potatoes,want mashed potatoes,mashed potatoes
i want mashed potatoes,i want mashed potatoes,mashed potatoes
i want medu wada,i want medu wada,medu wada
i want med wada,i want medu wada,medu wada
i wantmedu wada,i wantmedu wada,medu wada
i awnt medu wada,i ant medu wada,medu wada
give me museli,give me museli,muesli
give me muesli,give me muesli,muesli
give memuseli,give museli,muesli
giv me museli,give me museli,muesli
where is the muffin,where is the muffin,muffin
where is the muffi,where is the muffin,muffin
hwere is the muffin,here is the muffin,muffin
where is th muffin,where is the muffin,muffin
i need mutton,i need mutton,mutton
 need mutton,need mutton,mutton
ineed mutton,need mutton,mutton
i need mttn,i need mutton,mutton
noodles pls,noodles pls,noodles
noodlespls,noodles,noodles
noodle pls,noodles pls,noodles
noodles lps,noodles lps,noodles
give me some nuts,give me some nuts,nuts
give me sm nuts,give me sm nuts,nuts
give me some unts,give me some nuts,nuts
i want oatmeal,i want oatmeal,oatmeal
i want oatmeal,i want oatmeal,oatmeal
i want otameal,i want oatmeal,oatmeal
i want oatmea,i want oatmeal,oatmeal
omelette pls,omelette pls,omelette
mltt pls,mltt pls,omelette
omelette pls,omelette pls,omelette
omelette psl,omelette psl,omelette
give me some pancakes,give me some pancakes,pancakes
give me some pancakes,give me some pancakes,pancakes
giv me some pancakes,give me some pancakes,pancakes
i want papad,i want papad,papad
 want papad,want papad,papad
i want ppd,i want papad,papad
i wantpapad,i wantpapad,papad
make some paratha,make some paratha,paratha
make someparatha,make paratha,paratha
mak some paratha,make some paratha,paratha
make some prth,make some prth,paratha
make some pasta,make some pasta,pasta
make osme pasta,make some pasta,pasta
make som pasta,make some pasta,pasta
makesome pasta,awesome pasta,pasta
i want pav bhaji,i want pav bhaji,pav bhaji
i wnt pav bhaji,i want pav bhaji,pav bhaji
i wantpav bhaji,i wantpav bhaji,pav bhaji
i want pav bhaji,i want pav bhaji,pav bhaji
i want pie,i want pie,pie
i want pi,i want pit,pie
i want pei,i want pepsi,pie
i wan pie,i want pie,pie
i want pizza,i want pizza,pizza
i want pzz,i want pizza,pizza
i want pizza,i want pizza,pizza
i want pizz,i want pizza,pizza
can you make me poached eggs,can you make me poached eggs,poached eggs
can you make me poache eggs,can you make me poached eggs,poached eggs
can you make me poached ggs,can you make me poached eggs,poached eggs
can you mk me poached eggs,can you mk me poached eggs,poached eggs
i want poha,i want poha,poha
i want poha,i want poha,poha
i want opha,i want poha,poha
i wan poha,i want poha,poha
i like popcorrn,i like popcorrn,popcorn
i like popcrorn,i like popcorn,popcorn
i like popcorrn,i like popcorrn,popcorn
i want pork,i want pork,pork
i wnt pork,i want pork,pork
i wan pork,i want pork,pork
 want pork,want pork,pork
make some porridge,make some porridge,porridge
make someporridge,make porridge,porridge
make soem porridge,make some porridge,porridge
mk some porridge,mk some porridge,porridge
i want some rice,i want some rice,rice
i wnt some rice,i want some rice,rice
i want somerice,i want somerice,rice
i wnat some rice,i what some rice,rice
can you roast beef,can you roast beef,roast beef
can youroast beef,can roast beef,roast beef
cn you roast beef,can you roast beef,roast beef
can you rst beef,can you roast beef,roast beef
i want roast chicken,i want roast chicken,roast chicken
i want roast chckn,i want roast chicken,roast chicken
i wantroast chicken,i wantroast chicken,roast chicken
i want rst chicken,i want roast chicken,roast chicken
i want roast lamb,i want roast lamb,roast lamb
i wan roast lamb,i want roast lamb,roast lamb
i want roast lamb,i want roast lamb,roast lamb
i want a roast pork,i want a roast pork,roast pork
i want a raost pork,i want a roast pork,roast pork
i want a roast pork,i want a roast pork,roast pork
i want a roast prk,i want a roast pork,roast pork
rosogulla is so tasty,rosogulla is so tasty,rosogulla
rosogulla is sotasty,rosogulla is tasty,rosogulla
rosogulla is s tasty,rosogulla is s tasty,rosogulla
rosogulla s so tasty,rosogulla s so tasty,rosogulla
i want some rotti,i want some rotti,roti
i want som rotti,i want some rotti,roti
i want osme rotti,i want some rotti,roti
salad is nice,salad is nice,salad
salad is nic,salad is nice,salad
salsa taste good,salsa taste good,salsa
salsa atste good,salsa taste good,salsa
salsataste good,salsataste good,salsa
i need some sambhar,i need some sambhar,sambhar
i needsome sambhar,i needsome sambhar,sambhar
i nee some sambhar,i need some sambhar,sambhar
i need some sabmhar,i need some sambhar,sambhar
can you make a sandwich for me,can you make a sandwich for me,sandwich
can you amke a sandwich for me,can you take a sandwich for me,sandwich
can you make a sandwcih for me,can you make a sandwich for me,sandwich
can you make a sandwich for me,can you make a sandwich for me,sandwich
i love sausage,i love sausage,sausage
i lovesausage,i sausage,sausage
i love ssg,i love ssg,sausage
i lv sausage,i lv sausage,sausage
can you make me some scrambled eggs,can you make me some scrambled eggs,scrambled eggs
can yo make me some scrambled eggs,can you make me some scrambled eggs,scrambled eggs
can you make me some scrambled eggs,can you make me some scrambled eggs,scrambled eggs
can you make m some scrambled eggs,can you make m some scrambled eggs,scrambled eggs
i want pudding,i want pudding,pudding
i wnt pudding,i want pudding,pudding
i want pudding,i want pudding,pudding
i wantpudding,i pudding,pudding
i want sheera,i want sheera,sheera
iwant sheera,want sheera,sheera
i want sheera,i want sheera,sheera
i want shr,i want shirt,sheera
i want some snack mix,i want some snack mix,snack mix
i want some snac mix,i want some snack mix,snack mix
i want some snack mix,i want some snack mix,snack mix
i want some snacks,i want some snacks,snacks
i awnt some snacks,i ant some snacks,snacks
iwant some snacks,want some snacks,snacks
i want soem snacks,i want some snacks,snacks
i want apple,i want apple,apple
i wan apple,i want apple,apple
i want paple,i want paper,apple
i want ppl,i want apple,apple
i need some avacado,i need some avacado,avacado
i needsome avacado,i needsome avacado,avacado
i nd some avacado,i and some avacado,avacado
i need some vcd,i need some vcd,avacado
give me banana,give me banana,banana
give m banana,give m banana,banana
give me bnn,give me bnn,banana
give me banana,give me banana,banana
give me some berries,give me some berries,berries
give me som berries,give me some berries,berries
give me smoe berries,give me some berries,berries
i want blueberry,i want blueberry,blueberry
i want blueberry,i want blueberry,blueberry
iwant blueberry,want blueberry,blueberry
i wantblueberry,i blueberry,blueberry
i want cherry,i want cherry,cherry
iwant cherry,want cherry,cherry
i want chrery,i want cherry,cherry
i need some chikoo,i need some chikoo,chikoo
i need som chikoo,i need some chikoo,chikoo
i need some chikoo,i need some chikoo,chikoo
i need some cihkoo,i need some chikoo,chikoo
i love dragonfruit,i love dragonfruit,dragonfruit
i love dragonfrui,i love dragonfruit,dragonfruit
i love dragonfruit,i love dragonfruit,dragonfruit
give me some figs,give me some figs,figs
give me osme figs,give me some figs,figs
give mesome figs,give some figs,figs
give m some figs,give m some figs,figs
i want fruit platter,i want fruit platter,fruit platter
 want fruit platter,want fruit platter,fruit platter
i want fruitplatter,i want fruit platter,fruit platter
i want fruit plttr,i want fruit platter,fruit platter
lets go to fruit shop,lets go to fruit shop,fruit shop
lets go to fruit shop,lets go to fruit shop,fruit shop
lts go to fruit shop,lets go to fruit shop,fruit shop
lets g to fruit shop,lets g to fruit shop,fruit shop
give me some fruit,give me some fruit,fruit
give me sm fruit,give me sm fruit,fruit
giv me some fruit,give me some fruit,fruit
give me some fruit,give me some fruit,fruit
i want some grapes,i want some grapes,grapes
i want some grps,i want some grapes,grapes
i wnt some grapes,i want some grapes,grapes
 want some grapes,want some grapes,grapes
i like guava,i like guava,guava
 like guava,like guava,guava
ilike guava,like guava,guava
i want jackfruit,i want jackfruit,jackfruit
i want jackfruit,i want jackfruit,jackfruit
i awnt jackfruit,i ant jackfruit,jackfruit
i wantjackfruit,i jackfruit,jackfruit
i want kiwi,i want kiwi,kiwi
 want kiwi,want kiwi,kiwi
i want ikwi,i want kiwi,kiwi
i want kw,i want kw,kiwi
i like lychee,i like lychee,lychee
i like lych,i like lychee,lychee
i liek lychee,i line lychee,lychee
i like lcyhee,i like lychee,lychee
i love mango,i love mango,mango
i love mango,i love mango,mango
i loev mango,i love mango,mango
i love mnago,i love mango,mango
give me muskmelon,give me muskmelon,muskmelon
give memuskmelon,give muskmelon,muskmelon
give m muskmelon,give m muskmelon,muskmelon
give orange,give orange,orange
giv orange,give orange,orange
give oraneg,give orange,orange
giveorange,orange,orange
give me papaya,give me papaya,papaya
give me papay,give me papaya,papaya
giev me papaya,give me papaya,papaya
giveme papaya,give papaya,papaya
its the peach,its the peach,peach
its the peac,its the peach,peach
its thepeach,its peach,peach
tƒ??s the peach,its the peach,peach
i want some pear,i want some pear,pear
i want somepear,i want somepear,pear
i want some pr,i want some pr,pear
i want sm pear,i want sm pear,pear
i want pineapple,i want pineapple,pineapple
i wantpineapple,i pineapple,pineapple
i want pnppl,i want pnppl,pineapple
i wnat pineapple,i what pineapple,pineapple
i want plums,i want plums,plum
i want plms,i want plums,plum
i want plum,i want plum,plum
i want plums,i want plums,plum
i want pomegranate,i want pomegranate,pomegranate
i wantpomegranate,i pomegranate,pomegranate
i wnt pomegranate,i want pomegranate,pomegranate
i like strawberry,i like strawberry,strawberry
i like strwbrry,i like strawberry,strawberry
 like strawberry,like strawberry,strawberry
there is the skiping rope,there is the skiping rope,skipping rope
there is the skpng rope,there is the skiping rope,skipping rope
there is the skipin rope,there is the skiping rope,skipping rope
there isthe skiping rope,there the skiping rope,skipping rope
i like basket ball,i like basket ball,basketball
i lk basket ball,i lk basket ball,basketball
 like basket ball,like basket ball,basketball
take the bat and ball,take the bat and ball,bat and ball
take the bat an ball,take the bat an ball,bat and ball
take the bat andball,take the bat handball,bat and ball
shall we play board game,shall we play board game,board game
shall w play board game,shall w play board game,board game
shall we play board gm,shall we play board gm,board game
shall we play board gam,shall we play board game,board game
i love bowling,i love bowling,bowling
ilove bowling,love bowling,bowling
i love bowling,i love bowling,bowling
i lovebowling,i bowling,bowling
catch-catch,catch-catch,catch-catch
catch-catc,catch-catch,catch-catch
catch-cathc,catch-catch,catch-catch
cacth-catch,catch-catch,catch-catch
i like to play chess,i like to play chess,chess
i like to play chess,i like to play chess,chess
i liketo play chess,i like play chess,chess
i lk to play chess,i lk to play chess,chess
i want to watch cricket,i want to watch cricket,cricket
i want to wtch cricket,i want to watch cricket,cricket
i wantto watch cricket,i want watch cricket,cricket
i want towatch cricket,i want watch cricket,cricket
i want to watch football,i want to watch football,football
i want to watch foobtall,i want to watch football,football
i wan to watch football,i want to watch football,football
i want t watch football,i want t watch football,football
i want to play frisbee,i want to play frisbee,frisbee
i want t play frisbee,i want t play frisbee,frisbee
 want to play frisbee,want to play frisbee,frisbee
i want to lpay frisbee,i want to play frisbee,frisbee
lets go to fun zone,lets go to fun zone,fun zone
lets go to fun zone,lets go to fun zone,fun zone
letsgo to fun zone,lets to fun zone,fun zone
lets go to funzone,lets go to fun zone,fun zone
i want to watch handball,i want to watch handball,handball
i want t watch handball,i want t watch handball,handball
i wnt to watch handball,i want to watch handball,handball
can we play hide and seek,can we play hide and seek,hide and seek
can weplay hide and seek,can play hide and seek,hide and seek
can we paly hide and seek,can we play hide and seek,hide and seek
ca we play hide and seek,cat we play hide and seek,hide and seek
can w go to ice hockey,can w go to ice hockey,ice hockey
can w go to icehockey,can w go to ice hockey,ice hockey
cn w go to ice hockey,can w go to ice hockey,ice hockey
can w go to ice hockey,can w go to ice hockey,ice hockey
can we go ice skating,can we go ice skating,iceskating
cn we go ice skating,can we go ice skating,iceskating
can w go ice skating,can w go ice skating,iceskating
can we g ice skating,can we g ice skating,iceskating
can we play indoor games,can we play indoor games,indoor games
can we play indoor gms,can we play indoor games,indoor games
can we plya indoor games,can we play indoor games,indoor games
can we lpay indoor games,can we play indoor games,indoor games
i want to play ipad games,i want to play ipad games,ipad games
i want t play ipad games,i want t play ipad games,ipad games
i wantto play ipad games,i want play ipad games,ipad games
i like kabaddi,i like kabaddi,kabaddi
i lkie kabaddi,i line kabaddi,kabaddi
ilike kabaddi,like kabaddi,kabaddi
i want to fly kite,i want to fly kite,kite
i want to fly kite,i want to fly kite,kite
i want to fly kiet,i want to fly kite,kite
its my legos,its my legos,legos
its my lgs,its my legs,legos
its my legso,its my legs,legos
its my lego,its my legos,legos
can you play with me,can you play with me,play with me
can you play with m,can you play with m,play with me
can you play with me,can you play with me,play with me
can yo play with me,can you play with me,play with me
shall we play cards,shall we play cards,playing cards
shall we lpay cards,shall we play cards,playing cards
shallwe play cards,shall play cards,playing cards
shall we play cadrs,shall we play cards,playing cards
shall we play a puzzle,shall we play a puzzle,puzzle
shall w play a puzzle,shall w play a puzzle,puzzle
shall weplay a puzzle,shall play a puzzle,puzzle
shall we paly a puzzle,shall we play a puzzle,puzzle
i love racquet sports,i love racquet sports,racquet sports
i love racquetsports,i love racquet sports,racquet sports
i love rcqt sports,i love rcqt sports,racquet sports
i love racquet sports,i love racquet sports,racquet sports
i like to watch rollerskating,i like to watch rollerskating,rollerskating
i like to watchrollerskating,i like to rollerskating,rollerskating
i like t watch rollerskating,i like t watch rollerskating,rollerskating
i like towatch rollerskating,i like watch rollerskating,rollerskating
i want to play scrabble,i want to play scrabble,scrabble
i want t play scrabble,i want t play scrabble,scrabble
 want to play scrabble,want to play scrabble,scrabble
i want to play csrabble,i want to play scrabble,scrabble
i want to play seesasw,i want to play seesasw,see-saw
i want toplay seesasw,i want play seesasw,see-saw
i want to ply seesasw,i want to play seesasw,see-saw
iwant to play seesasw,want to play seesasw,see-saw
where is the ball pit,where is the ball pit,ball pit
where is the bal pit,where is the ball pit,ball pit
where isthe ball pit,where the ball pit,ball pit
where is the blal pit,where is the ball pit,ball pit
shall we play snake & ladder,shall we play snake & ladder,snakes & ladders
shall we play snk & ladder,shall we play snake & ladder,snakes & ladders
shall we play snake & ladder,shall we play snake & ladder,snakes & ladders
i want to go snowboarding,i want to go snowboarding,snowboarding
i want to go snowboardin,i want to go snowboarding,snowboarding
i want to go snowboarding,i want to go snowboarding,snowboarding
i like soccer,i like soccer,soccer
i like soccer,i like soccer,soccer
i like socce,i like soccer,soccer
ilike soccer,like soccer,soccer
i like softball,i like softball,softball
 like softball,like softball,softball
i lik softball,i like softball,softball
i likesoftball,i softball,softball
i like sports,i like sports,sports
i lk sports,i lk sports,sports
 like sports,like sports,sports
ilike sports,like sports,sports
i have allergy,i have allergy,allergy
i haveallergy,i allergy,allergy
ihave allergy,have allergy,allergy
i hav allergy,i have allergy,allergy
my ankle aches,my ankle aches,ankle
my ankle cahes,my ankle chess,ankle
m ankle aches,m ankle aches,ankle
my anlke aches,my ankle aches,ankle
put bandage,put bandage,bandage
put bandag,put bandage,bandage
put bndg,put bndg,bandage
pu bandage,put bandage,bandage
my shoulder aches,my shoulder aches,shoulder
m shoulder aches,m shoulder aches,shoulder
my shoulderaches,my shoulder,shoulder
myshoulder aches,shoulder aches,shoulder
i am sick,i am sick,sick
i am sick,i am sick,sick
 am sick,am sick,sick
iam sick,am sick,sick
my stomach aches,my stomach aches,stomach
my stomach aches,my stomach aches,stomach
mystomach aches,stomach aches,stomach
my stomahc aches,my stomach aches,stomach
i want to change my footwear,i want to change my footwear,change footwear
i want to chang my footwear,i want to change my footwear,change footwear
i wantto change my footwear,i want change my footwear,change footwear
i want to change my footwear,i want to change my footwear,change footwear
i want to change my frock,i want to change my frock,change frock
i wnat to change my frock,i what to change my frock,change frock
i want to change my frock,i want to change my frock,change frock
i wnt to change my frock,i want to change my frock,change frock
i want to change my innerwear,i want to change my innerwear,change innerwear
i wan to change my innerwear,i want to change my innerwear,change innerwear
i want tochange my innerwear,i want change my innerwear,change innerwear
i wantto change my innerwear,i want change my innerwear,change innerwear
i want to change my jeans,i want to change my jeans,change jeans
i want to change my jaens,i want to change my jeans,change jeans
i want to change my jean,i want to change my jeans,change jeans
i want to change my jns,i want to change my jeans,change jeans
i want to change my leggins,i want to change my leggins,change leggings
i want to change my lggns,i want to change my leggins,change leggings
i watn to change my leggins,i what to change my leggins,change leggings
i want to change my leggins,i want to change my leggins,change leggings
can you change music,can you change music,change music
can youchange music,can change music,change music
can you chagne music,can you change music,change music
can y change music,can y change music,change music
i want to change my pants,i want to change my pants,change pants
i wnt to change my pants,i want to change my pants,change pants
i wantto change my pants,i want change my pants,change pants
 want to change my pants,want to change my pants,change pants
i want to change my shoe,i want to change my shoe,change shoes
i want to chnage my shoe,i want to change my shoe,change shoes
i want to change myshoe,i want to change shoe,change shoes
i wan to change my shoe,i want to change my shoe,change shoes
i want to change my shorts,i want to change my shorts,change shorts
i want to change my shorts,i want to change my shorts,change shorts
i want to change my short,i want to change my shorts,change shorts
i want to change my skirts,i want to change my skirts,change skirt
i want to change my ksirts,i want to change my skirts,change skirt
i want to changemy skirts,i want to change skirts,change skirt
i want to change my skirts,i want to change my skirts,change skirt
i want to change the slacks,i want to change the slacks,change slacks
i want to change theslacks,i want to change slacks,change slacks
i want to changethe slacks,i want to change slacks,change slacks
i want to change my socks,i want to change my socks,change socks
i wnt to change my socks,i want to change my socks,change socks
i want t change my socks,i want t change my socks,change socks
i want tochange my socks,i want change my socks,change socks
i want to change my t-shirt,i want to change my t-shirt,change t-shirt
i want to change myt-shirt,i want to change t-shirt,change t-shirt
i want to chang my t-shirt,i want to change my t-shirt,change t-shirt
 want to change my t-shirt,want to change my t-shirt,change t-shirt
i want to change,i want to change,change
i want to change,i want to change,change
i want to chang,i want to change,change
can you comb my hair,can you comb my hair,comb hair
can y comb my hair,can y comb my hair,comb hair
can you cmb my hair,can you comb my hair,comb hair
can you comb m hair,can you comb m hair,comb hair
can you cut my nails,can you cut my nails,cut nails
can you ctu my nails,can you ctu my nails,cut nails
can y cut my nails,can y cut my nails,cut nails
take me to doctor,take me to doctor,doctor
take me to doctor,take me to doctor,doctor
take me todoctor,take me doctor,doctor
tak me to doctor,take me to doctor,doctor
i want to draw,i want to draw,draw
i wnt to draw,i want to draw,draw
iwant to draw,want to draw,draw
i want to drw,i want to draw,draw
take my dress,take my dress,dress
take m dress,take m dress,dress
takemy dress,take dress,dress
take my dress,take my dress,dress
i have an emergency,i have an emergency,emergency
i have an mrgncy,i have an emergency,emergency
i have a emergency,i have a emergency,emergency
i have anemergency,i have emergency,emergency
i want to wash my face,i want to wash my face,face wash
i want to wash my faec,i want to wash my face,face wash
i want to wash my face,i want to wash my face,face wash
get me a glass,get me a glass,glass
get me a glass,get me a glass,glass
get me aglass,get me glass,glass
getme a glass,get a glass,glass
i want my gloves,i want my gloves,gloves
i want my gloves,i want my gloves,gloves
i want m gloves,i want m gloves,gloves
 want my gloves,want my gloves,gloves
can you hepl me do this,can you hepl me do this,help me do this
can you hepl medo this,can you hepl medu this,help me do this
can you hepl me do this,can you hepl me do this,help me do this
ca you hepl me do this,cat you hepl me do this,help me do this
can you help put on clothes,can you help put on clothes,help put on clothes
can you help pu on clothes,can you help put on clothes,help put on clothes
can you help put on clothe,can you help put on clothes,help put on clothes
can yo help put on clothes,can you help put on clothes,help put on clothes
can you help me remove clothes,can you help me remove clothes,help remove clothes
can you help m remove clothes,can you help m remove clothes,help remove clothes
can you hel me remove clothes,can you hepl me remove clothes,help remove clothes
can you hepl me remove clothes,can you hepl me remove clothes,help remove clothes
help me pls,help me pls,help
hlp me pls,help me pls,help
help m pls,help m pls,help
i need help,i need help,i need help
i need hel,i need hepl,i need help
i needhelp,i i need help,i need help
i need help,i need help,i need help
i want my jacket,i want my jacket,jacket
i wnat my jacket,i what my jacket,jacket
i want my jacket,i want my jacket,jacket
i want leggings,i want leggings,leggings
i watn leggings,i what leggings,leggings
i want leggnigs,i want leggings,leggings
i want my lunch box,i want my lunch box,lunch box
i want my lunchbox,i want my lunch box,lunch box
i want my lunhc box,i want my lunch box,lunch box
i want my lunch bx,i want my lunch box,lunch box
can you bring my medicine,can you bring my medicine,medicine
can you bring mymedicine,can you bring medicine,medicine
can you bring my medicin,can you bring my medicine,medicine
microwave it,microwave it,microwave
microwave t,microwave t,microwave
microwave it,microwave it,microwave
mcrwv it,mcrwv it,microwave
my clothes are loose,my clothes are loose,my clothes are loose
my clothesare loose,my clothes loose,my clothes are loose
my clothes are loose,my clothes are loose,my clothes are loose
my clothes are tight,my clothes are tight,my clothes are tight
my clothes are tight,my clothes are tight,my clothes are tight
my clothes rae tight,my clothes rae tight,my clothes are tight
my clothes are tihgt,my clothes are tight,my clothes are tight
switch to next channel,switch to next channel,next channel
switch to enxt channel,switch to next channel,next channel
switch to next channel,switch to next channel,next channel
switch to nxt channel,switch to next channel,next channel
i want to see nurse,i want to see nurse,nurse
i want to s nurse,i want to s nurse,nurse
i want tosee nurse,i want see nurse,nurse
i want to see nurse,i want to see nurse,nurse
where is my pants,where is my pants,pants
where is my pants,where is my pants,pants
where is my pnts,where is my pants,pants
where i my pants,where i my pants,pants
please come here,please come here,please come here
please comehere,please comehere,please come here
pleasecome here,please come here here,please come here
please give me,please give me,please give me
please giv me,please give me,please give me
please gv me,please gve me,please give me
please gvie me,please gve me,please give me
please share,please share,please share
pleaseshare,please share,please share
pleaes share,please share,please share
please shr,please shirt,please share
please show me,please show me,please show me
pleaseshow me,please show me me,please show me
please show m,please show m,please show me
please showme,please some,please show me
please slow down,please slow down,please slow down
plesae slow down,please slow down,please slow down
please slw down,please slow down,please slow down
please lsow down,please slow down,please slow down
please take me,please take me,please take me
pls take me,pls take me,please take me
pleasetake me,please take me me,please take me
please tell me again,please tell me again,please tell me again
pleasetell me again,please me again,please tell me again
please tell me agai,please tell me again,please tell me again
please tell meagain,please tell again,please tell me again
please,please,please
pleas,please,please
plaese,please,please
pls,pls,please
can you change to previous channel,can you change to previous channel,previous channel
